medicine_id,medicine_name,manufacturer,dosage_form,strength,unit,quantity,price,expiry_date
MED101,Oxitonex,Nexus BioHealth,Powder,43.27,400mg,856,471.18,2024-05-14
MED177,ImmunoPlus,GenoWave Pharmaceuticals,Injection,58.2,500mg,944,859.83,2024-02-01
MED293,CardioPro,BioVista Research,Liquids,16.89,500mg,278,634.46,2024-03-09
MED135,ImmunoPro,MedicoTech Pharmaceuticals,Powder,15.73,300mg,184,397.43,2024-01-11
MED171,PediaMax,Apex Cure Systems,Powder,76.24,100mg,4,147.1,2024-02-24
MED281,FlexiCare,BioGenX Health Solutions,Liquids,35.97,400mg,300,247.64,2024-07-17
MED210,Galafix,BioVista Research,Tablet,8.93,500mg,1,628.07,2024-05-28
MED261,Ceflinex,Apex Cure Systems,Liquids,37.41,500mg,57,169.58,2024-06-27
MED113,Inflamex,MedLifex Therapeutics,Liquids,52.31,300mg,362,716.43,2024-08-12
MED157,SleepMax,LifeQuest Pharmaceuticals,Tablet,44.86,400mg,651,806.99,2024-08-09
MED210,Ibonix,NovaCure PharmaSys,Liquids,79.51,500mg,524,545.77,2024-05-22
MED217,Monoflex,Zenith Medix Corp,Tonic,32.73,400mg,217,771.63,2024-06-16
MED184,Lycinex,BioVista Research,Tablet,36.73,100mg,324,146.89,2024-07-09
MED111,OsteoMax,LifeQuest Pharmaceuticals,Tonic,27.34,500mg,26,680.58,2024-09-24
MED271,Vaxiwave,SynthoMed Solutions,Powder,16.86,400mg,898,696.81,2024-04-03
MED161,Glucoplus,Quantum BioTech,Tonic,84.52,300mg,776,492.1,2024-07-22
MED239,Dexicilin,BioGenX Health Solutions,Tonic,4.45,300mg,962,931.71,2024-09-03
MED187,FlexiMax,MedicoTech Pharmaceuticals,Tonic,31.86,100mg,932,482.57,2024-02-25
MED115,Lymedex,Excela PharmaTech,Powder,69.31,500mg,75,950.1,2024-01-14
MED118,Nurozone,HealSynth Labs,Powder,6.49,100mg,806,764.69,2024-09-17
MED232,Oxyflow,Precision Heal Sciences,Tablet,64.84,500mg,307,696.02,2024-03-06
MED243,NerveGuard,SynthoMed Solutions,Liquids,24.71,300mg,351,602.62,2024-02-02
MED212,Yumoxin,EpiGenix BioScience,Liquids,2.79,200mg,437,543.0,2024-01-07
MED260,Serranex,MedLifex Therapeutics,Powder,28.65,200mg,160,336.42,2024-02-06
MED231,Quikfix,Precision Heal Sciences,Injection,75.92,300mg,907,367.41,2024-03-24
MED100,Monoflex,HealSynth Labs,Tablet,34.64,400mg,718,691.46,2024-01-27
MED132,RespiraPlus,LifeQuest Pharmaceuticals,Tonic,5.99,100mg,240,124.08,2024-02-29
MED122,Fibrinex,GenoWave Pharmaceuticals,Liquids,79.27,400mg,824,653.86,2024-09-11
MED183,Nurozone,Apex Cure Systems,Tablet,66.31,500mg,839,702.42,2024-07-31
MED221,Kalmoxin,BioGenX Health Solutions,Liquids,80.52,200mg,515,317.42,2024-05-03
MED153,Virexin,ProMed Innovations,Injection,78.09,500mg,251,719.52,2024-10-17
MED247,Primexin,Quantum BioTech,Powder,51.85,100mg,281,884.0,2024-01-14
MED173,Epirox,Nexus BioHealth,Tablet,38.8,400mg,851,450.32,2024-08-19
MED171,NeuroRelax,EpiGenix BioScience,Tonic,46.55,300mg,97,525.28,2024-09-01
MED146,Tranquility,Precision Heal Sciences,Tonic,16.67,500mg,582,533.92,2024-04-26
MED286,Lymedex,EpiGenix BioScience,Liquids,83.15,500mg,642,344.61,2024-01-23
MED150,JointPlus,Precision Heal Sciences,Tonic,43.41,300mg,901,405.0,2024-01-07
MED280,ImmunoPlus,BioGenX Health Solutions,Injection,4.22,400mg,960,349.31,2024-06-25
MED106,PulmoVista,SynthoMed Solutions,Powder,4.82,200mg,467,390.53,2024-08-20
MED177,Xalitrex,GenoWave Pharmaceuticals,Powder,32.6,100mg,297,399.05,2024-09-30
MED209,PediaVita,Apex Cure Systems,Powder,75.21,200mg,985,447.07,2024-02-18
MED228,PediaRelief,HealSynth Labs,Liquids,62.08,500mg,912,478.93,2024-10-09
